"index","title","filename","absolute_path"
"1","9 20 Special","9 20 Special - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/9 20 Special - Jazz Lead Sheet.pdf"
"2","A Foggy Day","A Foggy Day - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/A Foggy Day - Jazz Lead Sheet.pdf"
"3","A Night in Tunisia","A Night in Tunisia - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/A Night in Tunisia - Jazz Lead Sheet.pdf"
"4","A Smooth One","A Smooth One - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/A Smooth One - Jazz Lead Sheet.pdf"
"5","After You've Gone","After You've Gone - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/After You've Gone - Jazz Lead Sheet.pdf"
"6","Ain't Misbehavin'","Ain't Misbehavin' - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Ain't Misbehavin' - Jazz Lead Sheet.pdf"
"7","Alice in Wonderland","Alice in Wonderland - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/Alice in Wonderland - Jazz Lead Sheet.pdf"
"8","All Blues","All Blues - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/All Blues - Jazz Lead Sheet.pdf"
"9","All I Do Is Dream of You","All I Do Is Dream of You - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/All I Do Is Dream of You - Jazz Lead Sheet.pdf"
"10","All of me","All of me - Jazz Lead Sheet.pdf","/Users/p3tr4/Documents/LavaAI-demo/output/jazzleadsheet-pdfs/All of me - Jazz Lead Sheet.pdf"
